Name,Quantity,Component
"U1",1,"Arduino Uno R3"
"R1",1,"10 kΩ Resistor"
"TILT1",1,"Tilt Sensor"
"R2, R3, R4, R5, R6, R7",6,"220 Ω Resistor"
"D1, D2, D3, D4, D5, D6",6,"Red LED"
