Name,Quantity,Component
"U1",1,"Arduino Uno R3"
"PIEZO1",1,"Piezo"
"R1",1,"1 MΩ Resistor"
"Rpot1",1,"250 kΩ Potentiometer"
"S1",1,"Pushbutton"
"R2, R3",2,"220 Ω Resistor"
"D1",1,"Red LED"
